energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,artist,track_name,popularity
0.514,0.0798,93.94,0.0238,0.2,0.0,4,0.602,8,237733,-7.589,0.336,1,Alanis Morissette,Ablaze,31
0.686,0.136,168.056,0.165,0.376,0.0,4,0.7,4,180006,-6.858,0.569,0,Atitude 67,Eu Que Lute Pra Prestar,45
0.637,0.108,146.992,0.0746,0.366,0.0,4,0.639,2,213997,-7.67,0.688,1,Malibu,Só Quero Viajar,46
0.418,0.0857,104.981,0.244,0.149,1.72e-06,4,0.75,11,225631,-10.412,0.442,1,Jorja Smith,By Any Means,60
0.68,0.11,143.988,0.222,0.0535,1.2e-06,4,0.809,4,146009,-4.883,0.0653,1,A$AP Ferg,Move Ya Hips (feat. Nicki Minaj & MadeinTYO),70
0.65,0.0724,101.97,0.069,0.37,0.000284,4,0.816,2,236765,-7.939,0.434,1,Mc Kevin,Vida de Filme,36
0.51,0.0787,99.947,0.0295,0.335,0.0,4,0.707,1,212942,-7.865,0.79,0,Menestrel,Hoje É Nosso Dia,38
0.657,0.0845,122.062,0.103,0.275,0.0,4,0.933,9,165973,-8.096,0.874,0,JayA Luuck,Praya,37
0.363,0.877,123.836,0.036,0.906,8.91e-06,4,0.387,10,286935,-11.208,0.335,1,Thiago Martins,O Amor Vai Encontrar Você - Ao Vivo,30
0.728,0.0629,180.066,0.389,0.189,2.29e-05,4,0.787,6,200198,-3.455,0.545,0,Maluma,Hawái,71
0.53,0.0433,130.034,0.099,0.141,0.0,4,0.922,6,165604,-3.362,0.86,0,MC Paulin da Capital,Ta Suave Vai Passar,31
0.543,0.0802,77.492,0.134,0.394,0.00361,4,0.647,9,123871,-9.709,0.509,0,Mc Nedved,Cachorrinha,23
0.546,0.122,155.001,0.073,0.384,1.14e-05,4,0.801,0,165677,-9.513,0.825,1,Rafa Almeida,Rolezinho Diferente,27
0.533,0.111,126.147,0.145,0.178,0.00387,4,0.658,4,148571,-9.606,0.608,0,Kiaz,Cara De Diaba,27
0.843,0.0888,144.059,0.187,0.311,2.19e-06,4,0.728,4,151667,-5.294,0.704,0,Tati Zaqui,Aguenta,36
0.667,0.0856,152.008,0.0381,0.19,0.77,4,0.722,9,258480,-11.184,0.961,0,Mateus Aleluia,Canta Sabiá,28
0.493,0.114,130.008,0.392,0.678,0.0,4,0.574,10,210462,-11.735,0.389,0,Krawk,"Lembra de Mim, Pai?",42
0.574,0.111,112.048,0.0481,0.72,0.000396,4,0.901,8,188036,-6.712,0.527,0,Kawe,Bvlgari,34
0.853,0.339,127.987,0.0382,0.00717,0.0,4,0.529,7,131303,-4.481,0.646,1,Bastille,WHAT YOU GONNA DO???,62
0.585,0.0986,110.155,0.0669,0.262,1.02e-05,4,0.904,7,209472,-2.697,0.522,0,MC Lynne,Separados,29
0.702,0.302,167.935,0.217,0.71,0.0,4,0.568,1,186219,-2.946,0.461,1,Mano Walter,Chorona,43
0.8,0.213,104.972,0.0299,0.000953,0.0,4,0.597,5,194267,-7.132,0.904,1,McFly,Happiness,54
0.557,0.146,164.812,0.111,0.0263,0.0,4,0.605,11,180364,-6.973,0.348,0,Knust,Antes de Partir,34
0.833,0.477,98.034,0.1,0.0102,0.0,4,0.662,1,223831,-3.018,0.404,0,Snakehips,Lie for You (feat. A Boogie Wit Da Hoodie & Davido),59
0.738,0.264,130.05,0.0487,0.4,0.0,4,0.844,6,151799,0.346,0.701,0,Niack,Sereia de Outro Planeta,39
0.277,0.112,131.935,0.0365,0.634,0.0,4,0.721,1,171827,-7.128,0.309,1,Dan + Shay,I Should Probably Go To Bed,64
0.224,0.139,101.94,0.067,0.354,0.000701,4,0.692,10,209711,-15.847,0.169,0,Gabz,Insegurança,35
0.576,0.0788,119.936,0.0836,0.0842,0.0,4,0.743,10,184860,-8.654,0.333,0,Jé Santiago,Snakes,37
0.633,0.0894,84.624,0.321,0.278,0.0,4,0.747,3,189176,-3.426,0.479,0,Mc Digo STC,Meta,29
0.77,0.0311,104.044,0.0559,0.000648,0.0,4,0.663,9,192907,-4.056,0.753,1,The Vamps,Married In Vegas,59
0.662,0.118,120.061,0.059,0.453,0.0,4,0.867,1,144000,-6.054,0.763,0,POLLO,Só Com os de Verdade,27
0.63,0.126,117.062,0.43,0.216,0.0,4,0.723,0,194868,-6.798,0.642,1,Kant,Yoga Fire,34
0.349,0.136,116.176,0.043,0.671,0.0,5,0.565,2,212953,-6.068,0.175,1,Sam Fischer,The Usual,52
0.574,0.0983,91.769,0.0276,0.23,0.0105,4,0.617,6,208453,-9.768,0.396,1,The Neighbourhood,Cherry Flavoured,61
0.857,0.066,120.052,0.0402,0.0305,0.000143,4,0.649,6,189250,-5.727,0.664,0,Fancy Inc,Better Days (feat. Wieller),31
0.697,0.106,168.063,0.0824,0.0233,0.000368,4,0.746,1,157143,-7.506,0.91,1,Thiaguinho MT,Chora Bobo,36
0.872,0.357,137.038,0.0568,0.00104,0.000471,4,0.372,0,240217,-3.582,0.273,1,Marilyn Manson,WE ARE CHAOS,61
0.309,0.352,104.745,0.062,0.795,0.132,4,0.444,8,208155,-10.956,0.0875,1,Billie Eilish,my future,80
0.474,0.099,143.783,0.0583,0.569,0.000626,4,0.691,10,179917,-8.742,0.381,0,Sam Smith,My Oasis (feat. Burna Boy),70
0.87,0.0768,172.0,0.0951,0.381,0.000225,4,0.746,4,136545,-4.102,0.774,0,Vítor Fernandes,Piseiro na capital,28
0.595,0.0908,159.856,0.114,0.146,0.0,4,0.582,7,163500,-6.758,0.288,1,Theus Costa,Seu Colchão,39
0.666,0.126,129.863,0.391,0.432,1.41e-05,4,0.909,11,169846,-2.304,0.853,1,Meno Tody,Amassa a Placa 2,45
0.641,0.109,184.021,0.0389,0.00565,3.63e-06,4,0.648,7,180348,-5.521,0.505,1,Ava Max,Who's Laughing Now,65
0.392,0.0986,90.307,0.032,0.667,4.04e-06,4,0.423,9,192698,-12.026,0.273,1,OUTROEU,Se Perder,41
0.673,0.18,115.05,0.0561,0.0991,0.00262,4,0.784,5,192000,-6.337,0.491,0,Nill,Dorothy,31
0.657,0.117,130.218,0.0557,0.678,0.0,4,0.728,1,138461,-1.603,0.375,1,MC Rick,Cupido Fdp 2,39
0.597,0.19,75.063,0.282,0.0999,0.0,4,0.762,5,129655,-5.306,0.267,0,Luísa Sonza,TOMA,57
0.596,0.11,120.121,0.0276,0.156,0.000128,4,0.733,7,230883,-8.704,0.621,0,Mart'nália,Cirandeiro,29
0.723,0.104,121.971,0.0343,0.0119,0.572,4,0.522,6,354099,-9.968,0.139,1,Santti,Tars,30
0.908,0.138,123.977,0.0403,0.00852,0.734,4,0.526,11,276295,-6.316,0.214,0,Vintage Culture,Things,48
0.594,0.109,122.756,0.29,0.339,0.000116,4,0.814,1,151100,-6.34,0.417,0,Borges,Lei Áurea,50
0.814,0.293,144.894,0.044,0.0902,0.0,4,0.791,9,167783,-4.2,0.818,0,Rosa Neon,Fama,33
0.819,0.101,168.044,0.0825,0.0937,0.0,4,0.67,8,174628,-4.816,0.763,1,Yasmin Santos,Cuidado Que Eu Te Supero,48
0.752,0.112,124.998,0.0304,0.0258,0.0,4,0.671,6,195080,-6.806,0.717,0,Lost Frequencies,Don't Leave Me,56
0.831,0.152,125.037,0.0844,0.369,1.55e-05,4,0.78,0,147840,-6.065,0.312,0,R3HAB,Party Girl,57
0.636,0.196,122.996,0.0314,0.00295,0.00059,4,0.731,0,183943,-6.845,0.703,1,Surf Mesa,Somewhere (feat. Gus Dapperton),56
0.821,0.185,118.015,0.134,0.219,0.00177,4,0.905,10,183036,-4.7,0.618,1,Boyzinho o Rei da Bregadeira,Flexionamento,27
0.527,0.0837,129.915,0.306,0.378,3.52e-05,4,0.883,9,166154,-4.138,0.755,0,Mc Davi,Nas Alturas,35
0.596,0.22,115.318,0.19,0.18,0.0,5,0.663,4,232000,-2.81,0.384,0,MC Marks,Jesus Olhou pra Mim,36
0.769,0.157,147.018,0.084,0.155,0.0,4,0.624,1,140041,-5.116,0.6,0,Don Toliver,Clap - From Road To Fast 9 Mixtape,51
